"","X.x","sector","state","year","action_occurred","protest_occurred","strike_occurred","total_strikes","total_protests","total_actions","X.y","all_employees","avg_hourly_earnings_all","avg_hourly_earnings_production","avg_weekly_earnings_all","avg_weekly_earnings_production","avg_weekly_hours_all","avg_weekly_hours_production","production_nonsupervisory_employees","Labor.Force","Labor.Force.Participation.Rate","Unemployment.Rate","state_labor_force","state_labor_part","state_unempl_rate","X","adjusted_cpi"
"25",25,"Construction","California",2021,1,1,1,1,1,2,40,883.875,39.0808333333333,NA,1436.44166666667,NA,36.7583333333333,NA,NA,18954560.3333333,61.075,7.34166666666667,18954.5603333333,61.075,7.34166666666667,311,303.126389016667
"26",26,"Construction","California",2022,1,1,0,0,1,1,41,912.866666666667,41.0908333333333,NA,1508.035,NA,36.7,NA,NA,19218263.25,61.75,4.26666666666667,19218.26325,61.75,4.26666666666667,362,329.396726525
"27",27,"Construction","California",2023,1,1,0,0,1,1,42,912.358333333333,43.8416666666667,NA,1623.24583333333,NA,37.0166666666667,NA,NA,19470996.1666667,62.15,4.71666666666667,19470.9961666667,62.15,4.71666666666667,413,343.038997875
"28",28,"Construction","California",2024,1,1,1,1,1,2,43,912.083333333333,45.75,NA,1667.545,NA,36.45,NA,NA,19644051.6666667,62.125,5.31666666666667,19644.0516666667,62.125,5.31666666666667,464,353.164157745
"29",29,"Construction","California",2025,0,0,0,0,0,0,44,881.925,45.4125,NA,1605.2425,NA,35.35,NA,NA,19774156.5,62.3,5.325,19774.1565,62.3,5.325,NA,NA
"30",30,"Construction","California",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"Construction","Colorado",2021,0,0,0,0,0,0,51,177.45,33.3108333333333,29.4833333333333,1286.15166666667,1189.27083333333,38.6083333333333,40.3333333333333,NA,3146262.58333333,67.9833333333333,5.5,3146.26258333333,67.9833333333333,5.5,312,278.595663520833
"32",32,"Construction","Colorado",2022,1,1,0,0,1,1,52,183.133333333333,35.1341666666667,30.9116666666667,1347.94333333333,1193.90916666667,38.3666666666667,38.625,NA,3184961.5,68.0666666666667,3.1,3184.9615,68.0666666666667,3.1,363,299.229972320833
"33",33,"Construction","Colorado",2023,0,0,0,0,0,0,53,184.708333333333,36.015,32.9808333333333,1406.0175,1298.6675,39.0333333333333,39.35,NA,3231187.75,68.1666666666667,3.31666666666667,3231.18775,68.1666666666667,3.31666666666667,414,308.91517825
"34",34,"Construction","Colorado",2024,0,0,0,0,0,0,54,186.558333333333,37.7325,35.0541666666667,1453.29833333333,1398.16416666667,38.5166666666667,39.8666666666667,NA,3267766.08333333,68.0333333333333,4.26666666666667,3267.76608333333,68.0333333333333,4.26666666666667,465,318.03313739
"35",35,"Construction","Colorado",2025,0,0,0,0,0,0,55,179.025,40.5375,36.97,1534.62,1466.3275,37.85,39.65,NA,3270212.75,67.625,4.85,3270.21275,67.625,4.85,NA,NA
"36",36,"Construction","Colorado",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,"Construction","Connecticut",2021,0,0,0,0,0,0,62,59.3833333333333,37.2808333333333,35.1141666666667,1438.63166666667,1419.2275,38.5916666666667,40.4083333333333,43.8083333333333,1850361.75,63.2416666666667,6.475,1850.36175,63.2416666666667,6.475,313,278.63088935
"38",38,"Construction","Connecticut",2022,0,0,0,0,0,0,63,61.1,38.1625,34.7741666666667,1470.4575,1339.49166666667,38.525,38.525,44.6333333333333,1925717.41666667,65.4416666666667,4.05,1925.71741666667,65.4416666666667,4.05,364,310.844275108333
"39",39,"Construction","Connecticut",2023,0,0,0,0,0,0,64,62.0666666666667,39.61,37.97,1537.07333333333,1517.50666666667,38.8083333333333,39.9666666666667,43.625,1913208.91666667,64.4416666666667,3.20833333333333,1913.20891666667,64.4416666666667,3.20833333333333,415,315.944703375
"40",40,"Construction","Connecticut",2024,0,0,0,0,0,0,65,63.2,41.4533333333333,39.3958333333333,1538.155,1512.70833333333,37.1,38.3833333333333,44.1583333333333,1944419.25,64.8333333333333,3.15833333333333,1944.41925,64.8333333333333,3.15833333333333,466,325.270146405
"41",41,"Construction","Connecticut",2025,1,1,0,0,1,1,66,58.05,42.85,40.2125,1612.0975,1565.0125,37.625,38.925,40,1946327.25,64.6,4,1946.32725,64.6,4,NA,NA
"42",42,"Construction","Connecticut",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"Construction","Delaware",2021,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,264.025718641667
"44",44,"Construction","Delaware",2022,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,286.711456995833
"45",45,"Construction","Delaware",2023,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416,302.428026541667
"46",46,"Construction","Delaware",2024,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467,311.354510518333
"47",47,"Construction","Delaware",2025,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,"Construction","Delaware",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,"Construction","District of Columbia",2021,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,302.362259491667
"50",50,"Construction","District of Columbia",2022,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,329.6600894
"51",51,"Construction","District of Columbia",2023,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417,337.624404833333
"52",52,"Construction","District of Columbia",2024,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468,347.589747246667
"53",53,"Construction","District of Columbia",2025,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
