"","X.x","sector","state","year","action_occurred","protest_occurred","strike_occurred","total_strikes","total_protests","total_actions","X.y","all_employees","avg_hourly_earnings_all","avg_hourly_earnings_production","avg_weekly_earnings_all","avg_weekly_earnings_production","avg_weekly_hours_all","avg_weekly_hours_production","production_nonsupervisory_employees","Labor.Force","Labor.Force.Participation.Rate","Unemployment.Rate","state_labor_force","state_labor_part","state_unempl_rate","X","adjusted_cpi"
"785",785,"Financial Activities","Minnesota",2025,0,0,0,0,0,0,1375,185.95,NA,NA,NA,NA,NA,NA,NA,3148301,68.15,3.65,3148.301,68.15,3.65,NA,NA
"786",786,"Financial Activities","Minnesota",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"787",787,"Financial Activities","Mississippi",2021,0,0,0,0,0,0,1382,42.5583333333333,NA,NA,NA,NA,NA,NA,NA,1257613.91666667,55.25,5.41666666666667,1257.61391666667,55.25,5.41666666666667,331,233.6529248625
"788",788,"Financial Activities","Mississippi",2022,0,0,0,0,0,0,1383,44.2333333333333,NA,NA,NA,NA,NA,NA,NA,1257492.58333333,55.1833333333333,3.78333333333333,1257.49258333333,55.1833333333333,3.78333333333333,382,255.538071358333
"789",789,"Financial Activities","Mississippi",2023,0,0,0,0,0,0,1384,45.25,NA,NA,NA,NA,NA,NA,NA,1247609.83333333,54.5083333333333,3.075,1247.60983333333,54.5083333333333,3.075,433,265.982361166667
"790",790,"Financial Activities","Mississippi",2024,0,0,0,0,0,0,1385,45.2166666666667,NA,NA,NA,NA,NA,NA,NA,1271435.33333333,55.2833333333333,3.15,1271.43533333333,55.2833333333333,3.15,484,273.833112673333
"791",791,"Financial Activities","Mississippi",2025,0,0,0,0,0,0,1386,44.85,NA,NA,NA,NA,NA,NA,NA,1291975.75,56.05,3.825,1291.97575,56.05,3.825,NA,NA
"792",792,"Financial Activities","Mississippi",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"793",793,"Financial Activities","Missouri",2021,0,0,0,0,0,0,1393,179.883333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.16666666666667,NA,NA,4.16666666666667,332,249.298612370833
"794",794,"Financial Activities","Missouri",2022,0,0,0,0,0,0,1394,183.458333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61666666666667,NA,NA,2.61666666666667,383,266.406179333333
"795",795,"Financial Activities","Missouri",2023,0,0,0,0,0,0,1395,183.508333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.10833333333333,NA,NA,3.10833333333333,434,279.602637416667
"796",796,"Financial Activities","Missouri",2024,0,0,0,0,0,0,1396,181.433333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65,NA,NA,3.65,485,287.855405823333
"797",797,"Financial Activities","Missouri",2025,0,0,0,0,0,0,1397,181.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,NA,NA,4.25,NA,NA
"798",798,"Financial Activities","Missouri",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"799",799,"Financial Activities","Montana",2021,0,0,0,0,0,0,1404,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,247.664675833333
"800",800,"Financial Activities","Montana",2022,0,0,0,0,0,0,1405,27.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,263.842780683333
"801",801,"Financial Activities","Montana",2023,0,0,0,0,0,0,1406,27.7333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,274.977228166667
"802",802,"Financial Activities","Montana",2024,0,0,0,0,0,0,1407,27.4083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486,283.093472713333
"803",803,"Financial Activities","Montana",2025,0,0,0,0,0,0,1408,27.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"804",804,"Financial Activities","Montana",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"805",805,"Financial Activities","Nebraska",2021,0,0,0,0,0,0,1415,72.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,249.136031620833
"806",806,"Financial Activities","Nebraska",2022,0,0,0,0,0,0,1416,72.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,262.994166975
"807",807,"Financial Activities","Nebraska",2023,0,0,0,0,0,0,1417,71.8916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,275.379437666667
"808",808,"Financial Activities","Nebraska",2024,0,0,0,0,0,0,1418,70.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,487,283.507553853333
"809",809,"Financial Activities","Nebraska",2025,0,0,0,0,0,0,1419,71.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"810",810,"Financial Activities","Nebraska",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"811",811,"Financial Activities","Nevada",2021,0,0,0,0,0,0,1426,71.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,258.538618329167
"812",812,"Financial Activities","Nevada",2022,0,0,0,0,0,0,1427,76.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,281.86850635
"813",813,"Financial Activities","Nevada",2023,0,0,0,0,0,0,1428,78.9916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437,295.502100833333
"814",814,"Financial Activities","Nevada",2024,0,0,0,0,0,0,1429,79.7666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488,304.224158766667
"815",815,"Financial Activities","Nevada",2025,0,0,0,0,0,0,1430,79.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"816",816,"Financial Activities","Nevada",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"817",817,"Financial Activities","New Hampshire",2021,0,0,0,0,0,0,1437,33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,277.918243729167
"818",818,"Financial Activities","New Hampshire",2022,0,0,0,0,0,0,1438,34.0416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,387,315.476535454167
"819",819,"Financial Activities","New Hampshire",2023,0,0,0,0,0,0,1439,34.2166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438,320.990604375
"820",820,"Financial Activities","New Hampshire",2024,0,0,0,0,0,0,1440,33.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489,330.464982525
"821",821,"Financial Activities","New Hampshire",2025,0,0,0,0,0,0,1441,33.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"822",822,"Financial Activities","New Hampshire",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"823",823,"Financial Activities","New Jersey",2021,0,0,0,0,0,0,1448,254.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337,295.869868208333
"824",824,"Financial Activities","New Jersey",2022,1,0,1,1,0,1,1449,263.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,318.2828132
"825",825,"Financial Activities","New Jersey",2023,0,0,0,0,0,0,1450,269.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,331.771037791667
"826",826,"Financial Activities","New Jersey",2024,1,1,0,0,1,1,1451,270.208333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490,341.563611868333
"827",827,"Financial Activities","New Jersey",2025,0,0,0,0,0,0,1452,268.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"828",828,"Financial Activities","New Jersey",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"829",829,"Financial Activities","New Mexico",2021,0,0,0,0,0,0,1459,34.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,243.4240279375
"830",830,"Financial Activities","New Mexico",2022,0,0,0,0,0,0,1460,35.7166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389,266.028692545833
"831",831,"Financial Activities","New Mexico",2023,0,0,0,0,0,0,1461,35.7083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440,275.409908083333
"832",832,"Financial Activities","New Mexico",2024,0,0,0,0,0,0,1462,35.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491,283.538923636667
"833",833,"Financial Activities","New Mexico",2025,0,0,0,0,0,0,1463,36.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"834",834,"Financial Activities","New Mexico",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"835",835,"Financial Activities","New York",2021,0,0,0,0,0,0,1470,706.133333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,296.9456108375
"836",836,"Financial Activities","New York",2022,0,0,0,0,0,0,1471,731.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,314.785939470833
"837",837,"Financial Activities","New York",2023,0,0,0,0,0,0,1472,746.891666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,327.940906416667
"838",838,"Financial Activities","New York",2024,1,0,1,1,0,1,1473,750.316666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492,337.620430103333
"839",839,"Financial Activities","New York",2025,0,0,0,0,0,0,1474,745.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"840",840,"Financial Activities","New York",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"841",841,"Financial Activities","North Carolina",2021,0,0,0,0,0,0,1481,275.183333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,254.059518666667
"842",842,"Financial Activities","North Carolina",2022,0,0,0,0,0,0,1482,294.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,275.062039158333
"843",843,"Financial Activities","North Carolina",2023,0,0,0,0,0,0,1483,304.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442,286.845455458333
"844",844,"Financial Activities","North Carolina",2024,0,0,0,0,0,0,1484,308.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493,295.312003321667
"845",845,"Financial Activities","North Carolina",2025,0,0,0,0,0,0,1485,307.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"846",846,"Financial Activities","North Carolina",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"847",847,"Financial Activities","North Dakota",2021,0,0,0,0,0,0,1492,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,246.4155137375
"848",848,"Financial Activities","North Dakota",2022,0,0,0,0,0,0,1493,24.6916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392,259.620195920833
"849",849,"Financial Activities","North Dakota",2023,0,0,0,0,0,0,1494,25.1916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,269.8825745
"850",850,"Financial Activities","North Dakota",2024,0,0,0,0,0,0,1495,24.9583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494,277.84844494
"851",851,"Financial Activities","North Dakota",2025,0,0,0,0,0,0,1496,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"852",852,"Financial Activities","North Dakota",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"853",853,"Financial Activities","Ohio",2021,0,0,0,0,0,0,1503,310.716666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,249.856806279167
"854",854,"Financial Activities","Ohio",2022,0,0,0,0,0,0,1504,319.216666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393,267.790297554167
"855",855,"Financial Activities","Ohio",2023,0,0,0,0,0,0,1505,319.316666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444,279.7549895
"856",856,"Financial Activities","Ohio",2024,0,0,0,0,0,0,1506,314.316666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495,288.01225474
"857",857,"Financial Activities","Ohio",2025,0,0,0,0,0,0,1507,314.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"858",858,"Financial Activities","Ohio",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"859",859,"Financial Activities","Oklahoma",2021,0,0,0,0,0,0,1514,78.5333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,243.597447404167
"860",860,"Financial Activities","Oklahoma",2022,0,0,0,0,0,0,1515,81.4166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394,259.8250337125
"861",861,"Financial Activities","Oklahoma",2023,0,0,0,0,0,0,1516,84.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445,269.011120583333
"862",862,"Financial Activities","Oklahoma",2024,0,0,0,0,0,0,1517,85.3833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496,276.951269136667
"863",863,"Financial Activities","Oklahoma",2025,0,0,0,0,0,0,1518,86.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"864",864,"Financial Activities","Oklahoma",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"865",865,"Financial Activities","Oregon",2021,0,0,0,0,0,0,1525,104.166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344,279.47630925
"866",866,"Financial Activities","Oregon",2022,0,0,0,0,0,0,1526,105.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395,311.924062895833
"867",867,"Financial Activities","Oregon",2023,0,0,0,0,0,0,1527,103.883333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446,319.089250375
"868",868,"Financial Activities","Oregon",2024,0,0,0,0,0,0,1528,101.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497,328.507508045
"869",869,"Financial Activities","Oregon",2025,0,0,0,0,0,0,1529,100.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"870",870,"Financial Activities","Oregon",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"871",871,"Financial Activities","Pennsylvania",2021,0,0,0,0,0,0,1536,331.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,260.427264708333
"872",872,"Financial Activities","Pennsylvania",2022,0,0,0,0,0,0,1537,336.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396,281.406158191667
"873",873,"Financial Activities","Pennsylvania",2023,1,1,0,0,1,1,1538,340.658333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447,297.0865625
"874",874,"Financial Activities","Pennsylvania",2024,0,0,0,0,0,0,1539,339.941666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498,305.8553875
"875",875,"Financial Activities","Pennsylvania",2025,0,0,0,0,0,0,1540,338.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"876",876,"Financial Activities","Pennsylvania",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"877",877,"Financial Activities","Puerto Rico",2021,0,0,0,0,0,0,1547,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"878",878,"Financial Activities","Puerto Rico",2022,0,0,0,0,0,0,1548,47.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"879",879,"Financial Activities","Puerto Rico",2023,0,0,0,0,0,0,1549,48.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"880",880,"Financial Activities","Puerto Rico",2024,0,0,0,0,0,0,1550,49.6166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"881",881,"Financial Activities","Puerto Rico",2025,0,0,0,0,0,0,1551,50.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"882",882,"Financial Activities","Puerto Rico",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"883",883,"Financial Activities","Rhode Island",2021,0,0,0,0,0,0,1558,33.8916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,276.782888158333
"884",884,"Financial Activities","Rhode Island",2022,0,0,0,0,0,0,1559,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397,305.489229983333
"885",885,"Financial Activities","Rhode Island",2023,0,0,0,0,0,0,1560,35.2666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448,309.0065895
"886",886,"Financial Activities","Rhode Island",2024,0,0,0,0,0,0,1561,35.1083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499,318.12724674
"887",887,"Financial Activities","Rhode Island",2025,0,0,0,0,0,0,1562,34.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"888",888,"Financial Activities","Rhode Island",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"889",889,"Financial Activities","South Carolina",2021,0,0,0,0,0,0,1569,110.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,253.726228129167
"890",890,"Financial Activities","South Carolina",2022,0,0,0,0,0,0,1570,116.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398,273.101448866667
"891",891,"Financial Activities","South Carolina",2023,0,0,0,0,0,0,1571,119.208333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,283.914201375
"892",892,"Financial Activities","South Carolina",2024,0,0,0,0,0,0,1572,122.308333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,292.294230165
"893",893,"Financial Activities","South Carolina",2025,0,0,0,0,0,0,1573,124.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"894",894,"Financial Activities","South Carolina",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"895",895,"Financial Activities","Tennessee",2021,0,0,0,0,0,0,1591,176.608333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,245.483384104167
"896",896,"Financial Activities","Tennessee",2022,1,0,1,1,0,1,1592,184.833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,268.6213537375
"897",897,"Financial Activities","Tennessee",2023,0,0,0,0,0,0,1593,191.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451,281.897059791667
"898",898,"Financial Activities","Tennessee",2024,0,0,0,0,0,0,1594,192.533333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502,290.217550508333
"899",899,"Financial Activities","Tennessee",2025,0,0,0,0,0,0,1595,191.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"900",900,"Financial Activities","Tennessee",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"901",901,"Financial Activities","Texas",2021,0,0,0,0,0,0,1602,840.108333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,266.643268716667
"902",902,"Financial Activities","Texas",2022,0,0,0,0,0,0,1603,893.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401,285.154689779167
"903",903,"Financial Activities","Texas",2023,0,0,0,0,0,0,1604,919.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452,296.096273958333
"904",904,"Financial Activities","Texas",2024,0,0,0,0,0,0,1605,926.216666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503,304.835869541667
"905",905,"Financial Activities","Texas",2025,1,0,1,1,0,1,1606,938.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"906",906,"Financial Activities","Texas",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"907",907,"Financial Activities","U.S. Virgin Islands",2021,0,0,0,0,0,0,1613,1.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"908",908,"Financial Activities","U.S. Virgin Islands",2022,0,0,0,0,0,0,1614,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"909",909,"Financial Activities","U.S. Virgin Islands",2023,0,0,0,0,0,0,1615,1.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"910",910,"Financial Activities","U.S. Virgin Islands",2024,0,0,0,0,0,0,1616,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"911",911,"Financial Activities","U.S. Virgin Islands",2025,0,0,0,0,0,0,1617,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"912",912,"Financial Activities","U.S. Virgin Islands",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"913",913,"Financial Activities","Utah",2021,0,0,0,0,0,0,1624,97.6416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,256.262487829167
"914",914,"Financial Activities","Utah",2022,0,0,0,0,0,0,1625,98.8166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,276.74170905
"915",915,"Financial Activities","Utah",2023,0,0,0,0,0,0,1626,98.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453,289.475052416667
"916",916,"Financial Activities","Utah",2024,0,0,0,0,0,0,1627,98.7833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504,298.019215623333
"917",917,"Financial Activities","Utah",2025,0,0,0,0,0,0,1628,100.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"918",918,"Financial Activities","Utah",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"919",919,"Financial Activities","Vermont",2021,0,0,0,0,0,0,1635,11.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,267.3396562625
"920",920,"Financial Activities","Vermont",2022,0,0,0,0,0,0,1636,12.0916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,295.522408291667
"921",921,"Financial Activities","Vermont",2023,0,0,0,0,0,0,1637,11.8916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454,294.450871458333
"922",922,"Financial Activities","Vermont",2024,0,0,0,0,0,0,1638,11.6416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505,303.141901241667
"923",923,"Financial Activities","Vermont",2025,0,0,0,0,0,0,1639,11.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"924",924,"Financial Activities","Vermont",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"925",925,"Financial Activities","Virginia",2021,0,0,0,0,0,0,1646,211.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353,277.278759445833
"926",926,"Financial Activities","Virginia",2022,0,0,0,0,0,0,1647,217.283333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404,298.6271639625
"927",927,"Financial Activities","Virginia",2023,0,0,0,0,0,0,1648,221.533333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455,306.986400875
"928",928,"Financial Activities","Virginia",2024,0,0,0,0,0,0,1649,220.908333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506,316.047430105
"929",929,"Financial Activities","Virginia",2025,0,0,0,0,0,0,1650,219.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"930",930,"Financial Activities","Virginia",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"931",931,"Financial Activities","Washington",2021,0,0,0,0,0,0,1657,161.016666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,294.688448091667
"932",932,"Financial Activities","Washington",2022,0,0,0,0,0,0,1658,165.066666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405,321.9611146875
"933",933,"Financial Activities","Washington",2023,0,0,0,0,0,0,1659,164.433333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456,330.792937416667
"934",934,"Financial Activities","Washington",2024,0,0,0,0,0,0,1660,163.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,507,340.556641823333
"935",935,"Financial Activities","Washington",2025,0,0,0,0,0,0,1661,163.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"936",936,"Financial Activities","Washington",2026,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"937",937,"Financial Activities","West Virginia",2021,0,0,0,0,0,0,1668,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,246.586223525
