"","state","year","adjusted_cpi"
"180","Montana",2018,231.943119145
"181","Nebraska",2018,230.7102206
"182","Nevada",2018,241.55269701
"183","New Hampshire",2018,259.96331235
"184","New Jersey",2018,278.91630261
"185","New Mexico",2018,230.069916875
"186","New York",2018,275.172409065
"187","North Carolina",2018,233.31161142
"188","North Dakota",2018,229.03287594
"189","Ohio",2018,233.35178734
"190","Oklahoma",2018,225.133300705
"191","Oregon",2018,262.91624247
"192","Pennsylvania",2018,246.411472335
"193","Rhode Island",2018,256.31232562
"194","South Carolina",2018,231.666909695
"195","South Dakota",2018,229.135826735
"196","Tennessee",2018,225.1358117
"197","Texas",2018,245.437206275
"198","Utah",2018,240.997767115
"199","Vermont",2018,251.699627805
"200","Virginia",2018,256.16668791
"201","Washington",2018,268.98782838
"202","West Virginia",2018,224.550749865
"203","Wisconsin",2018,235.910491245
"204","Wyoming",2018,231.877833275
"205","Alabama",2019,225.733561505833
"206","Alaska",2019,263.421865340833
"207","Arizona",2019,249.9592003025
"208","Arkansas",2019,224.314689668333
"209","California",2019,284.11182891
"210","Colorado",2019,262.041341390833
"211","Connecticut",2019,265.7278516425
"212","Delaware",2019,252.640995901667
"213","District of Columbia",2019,279.236534145833
"214","Florida",2019,254.750129714167
"215","Georgia",2019,241.3232560375
"216","Hawaii",2019,285.771014175833
"217","Idaho",2019,236.3380306625
"218","Illinois",2019,254.287398538333
"219","Indiana",2019,237.314623530833
"220","Iowa",2019,234.724862861667
"221","Kansas",2019,237.153562403333
"222","Kentucky",2019,229.041705934167
"223","Louisiana",2019,233.042668863333
"224","Maine",2019,244.449887131667
"225","Maryland",2019,268.655073721667
"226","Massachusetts",2019,273.970090929167
"227","Michigan",2019,243.780077363333
"228","Minnesota",2019,252.4594825675
"229","Mississippi",2019,221.193171625833
"230","Missouri",2019,236.534883151667
"231","Montana",2019,240.952559791667
"232","Nebraska",2019,236.586013668333
"233","Nevada",2019,252.7049090475
"234","New Hampshire",2019,265.929817183333
"235","New Jersey",2019,284.2422117275
"236","New Mexico",2019,237.708328509167
"237","New York",2019,279.729943631667
"238","North Carolina",2019,234.870584834167
"239","North Dakota",2019,238.275877244167
"240","Ohio",2019,238.482955836667
"241","Oklahoma",2019,228.371896165833
"242","Oregon",2019,265.408285913333
"243","Pennsylvania",2019,250.432157581667
"244","Rhode Island",2019,261.806141014167
"245","South Carolina",2019,233.906774595
"246","South Dakota",2019,234.7734368525
"247","Tennessee",2019,233.295764920833
"248","Texas",2019,251.825464160833
"249","Utah",2019,248.645146024167
"250","Vermont",2019,254.670877413333
"251","Virginia",2019,255.79574878
"252","Washington",2019,276.0511029575
"253","West Virginia",2019,226.3062232925
"254","Wisconsin",2019,241.520108526667
"255","Wyoming",2019,240.620211433333
"256","Alabama",2020,226.6566832575
"257","Alaska",2020,262.350302625
"258","Arizona",2020,256.8030239025
"259","Arkansas",2020,228.22793766
"260","California",2020,289.7657151075
"261","Colorado",2020,268.604257545
"262","Connecticut",2020,272.0340962325
"263","Delaware",2020,250.525771965
"264","District of Columbia",2020,287.055495405
"265","Florida",2020,260.434770075
"266","Georgia",2020,244.55655837
"267","Hawaii",2020,293.1515483175
"268","Idaho",2020,235.6079150925
"269","Illinois",2020,259.7384481075
"270","Indiana",2020,237.541567545
"271","Iowa",2020,234.538840845
"272","Kansas",2020,238.83066918
"273","Kentucky",2020,230.59905633
"274","Louisiana",2020,235.95219324
"275","Maine",2020,253.383539445
"276","Maryland",2020,275.386278195
"277","Massachusetts",2020,282.4038575775
"278","Michigan",2020,244.42195338
"279","Minnesota",2020,253.0289070675
"280","Mississippi",2020,221.52875085
"281","Missouri",2020,238.5536935275
"282","Montana",2020,238.0773989475
"283","Nebraska",2020,240.244021575
"284","Nevada",2020,251.57672631
"285","New Hampshire",2020,272.5000365825
"286","New Jersey",2020,286.58437794
"287","New Mexico",2020,237.6476984025
"288","New York",2020,285.046774785
"289","North Carolina",2020,236.4517848375
"290","North Dakota",2020,237.665818305
"291","Ohio",2020,237.97126809
"292","Oklahoma",2020,232.022762955
"293","Oregon",2020,267.258207645
"294","Pennsylvania",2020,252.8684165025
"295","Rhode Island",2020,263.4297311025
"296","South Carolina",2020,235.232574255
"297","South Dakota",2020,236.402602245
"298","Tennessee",2020,234.2618651925
"299","Texas",2020,255.682178505
"300","Utah",2020,246.591164565
"301","Vermont",2020,264.37455459
"302","Virginia",2020,261.470193075
"303","Washington",2020,279.2251089675
"304","West Virginia",2020,226.0664921475
"305","Wisconsin",2020,239.8686807375
"306","Wyoming",2020,237.7098237825
"307","Alabama",2021,238.646863566667
"308","Alaska",2021,283.9960541
"309","Arizona",2021,261.765846216667
"310","Arkansas",2021,240.925703745833
"311","California",2021,303.126389016667
"312","Colorado",2021,278.595663520833
"313","Connecticut",2021,278.63088935
"314","Delaware",2021,264.025718641667
"315","District of Columbia",2021,302.362259491667
"316","Florida",2021,274.756048141667
"317","Georgia",2021,259.481586679167
"318","Hawaii",2021,304.874132079167
"319","Idaho",2021,248.274353645833
"320","Illinois",2021,274.569080279167
"321","Indiana",2021,250.826871420833
"322","Iowa",2021,243.218092320833
"323","Kansas",2021,247.250094920833
"324","Kentucky",2021,241.8551237
"325","Louisiana",2021,247.6348693625
"326","Maine",2021,263.700557141667
"327","Maryland",2021,287.551153166667
"328","Massachusetts",2021,289.2067671375
"329","Michigan",2021,255.398100175
"330","Minnesota",2021,266.4373331
"331","Mississippi",2021,233.6529248625
"332","Missouri",2021,249.298612370833
"333","Montana",2021,247.664675833333
"334","Nebraska",2021,249.136031620833
"335","Nevada",2021,258.538618329167
"336","New Hampshire",2021,277.918243729167
"337","New Jersey",2021,295.869868208333
"338","New Mexico",2021,243.4240279375
"339","New York",2021,296.9456108375
"340","North Carolina",2021,254.059518666667
"341","North Dakota",2021,246.4155137375
"342","Ohio",2021,249.856806279167
"343","Oklahoma",2021,243.597447404167
"344","Oregon",2021,279.47630925
"345","Pennsylvania",2021,260.427264708333
"346","Rhode Island",2021,276.782888158333
"347","South Carolina",2021,253.726228129167
"348","South Dakota",2021,244.112286445833
"349","Tennessee",2021,245.483384104167
"350","Texas",2021,266.643268716667
"351","Utah",2021,256.262487829167
"352","Vermont",2021,267.3396562625
"353","Virginia",2021,277.278759445833
"354","Washington",2021,294.688448091667
"355","West Virginia",2021,246.586223525
"356","Wisconsin",2021,252.794098495833
"357","Wyoming",2021,248.0250631625
"358","Alabama",2022,257.530850445833
"359","Alaska",2022,298.542302591667
"360","Arizona",2022,292.5171452625
"361","Arkansas",2022,254.2768558125
"362","California",2022,329.396726525
"363","Colorado",2022,299.229972320833
"364","Connecticut",2022,310.844275108333
"365","Delaware",2022,286.711456995833
"366","District of Columbia",2022,329.6600894
"367","Florida",2022,299.21534105
"368","Georgia",2022,280.115680104167
"369","Hawaii",2022,325.089280391667
"370","Idaho",2022,268.6037962125
"371","Illinois",2022,296.253971833333
"372","Indiana",2022,268.87593785
"373","Iowa",2022,258.55211315
"374","Kansas",2022,262.41476865
"375","Kentucky",2022,261.5807862125
"376","Louisiana",2022,264.7235831875
"377","Maine",2022,294.667942075
"378","Maryland",2022,307.051849708333
"379","Massachusetts",2022,320.234624729167
"380","Michigan",2022,273.9237262875
"381","Minnesota",2022,285.207362354167
"382","Mississippi",2022,255.538071358333
"383","Missouri",2022,266.406179333333
"384","Montana",2022,263.842780683333
"385","Nebraska",2022,262.994166975
"386","Nevada",2022,281.86850635
"387","New Hampshire",2022,315.476535454167
"388","New Jersey",2022,318.2828132
"389","New Mexico",2022,266.028692545833
"390","New York",2022,314.785939470833
"391","North Carolina",2022,275.062039158333
"392","North Dakota",2022,259.620195920833
"393","Ohio",2022,267.790297554167
"394","Oklahoma",2022,259.8250337125
"395","Oregon",2022,311.924062895833
"396","Pennsylvania",2022,281.406158191667
"397","Rhode Island",2022,305.489229983333
"398","South Carolina",2022,273.101448866667
"399","South Dakota",2022,257.1562899125
"400","Tennessee",2022,268.6213537375
"401","Texas",2022,285.154689779167
"402","Utah",2022,276.74170905
"403","Vermont",2022,295.522408291667
"404","Virginia",2022,298.6271639625
"405","Washington",2022,321.9611146875
"406","West Virginia",2022,260.893116483333
"407","Wisconsin",2022,270.432705066667
"408","Wyoming",2022,268.5160085875
"409","Alabama",2023,274.14233875
"410","Alaska",2023,309.929843125
"411","Arizona",2023,308.071147708333
"412","Arkansas",2023,263.5934805
"413","California",2023,343.038997875
"414","Colorado",2023,308.91517825
"415","Connecticut",2023,315.944703375
"416","Delaware",2023,302.428026541667
"417","District of Columbia",2023,337.624404833333
"418","Florida",2023,315.2225545
"419","Georgia",2023,294.645882125
"420","Hawaii",2023,330.936148375
"421","Idaho",2023,278.575784375
"422","Illinois",2023,301.215303958333
"423","Indiana",2023,280.888489
"424","Iowa",2023,270.476747625
"425","Kansas",2023,274.127103541667
"426","Kentucky",2023,275.6597655
"427","Louisiana",2023,269.190896041667
"428","Maine",2023,295.858604708333
"429","Maryland",2023,316.785686875
"430","Massachusetts",2023,329.805695916667
"431","Michigan",2023,286.982572333333
"432","Minnesota",2023,299.880699708333
"433","Mississippi",2023,265.982361166667
"434","Missouri",2023,279.602637416667
"435","Montana",2023,274.977228166667
"436","Nebraska",2023,275.379437666667
"437","Nevada",2023,295.502100833333
"438","New Hampshire",2023,320.990604375
"439","New Jersey",2023,331.771037791667
"440","New Mexico",2023,275.409908083333
"441","New York",2023,327.940906416667
"442","North Carolina",2023,286.845455458333
"443","North Dakota",2023,269.8825745
"444","Ohio",2023,279.7549895
"445","Oklahoma",2023,269.011120583333
"446","Oregon",2023,319.089250375
"447","Pennsylvania",2023,297.0865625
"448","Rhode Island",2023,309.0065895
"449","South Carolina",2023,283.914201375
"450","South Dakota",2023,268.429135625
